time,session,turn_id,path,language,finalize_reason,stt_first_partial_ms,stt_first_final_ms,llm_first_token_ms,llm_final_token_ms,tts_first_audio_ms,tts_first_audio_from_stt_ms,tts_final_audio_ms,tts_final_audio_from_stt_ms,tts_first_audio_from_speech_end_ms,turn_total_e2e_ms,prompt_tokens,completion_tokens,llm_calls,stt_audio_s,tts_chars,transcript,llm_response,tts_input
2026-07-20T09:51:48+00:00,livekit:device:14c19fd64548,1,greeting,hi-IN,greeting_fallback_only_complete,0,0,0,0,365,0,2590,0,0,5880,0,0,0,0.0,62,,,"Hi! I am Cheeko 2, your fun friend. Ready for an awesome chat?"
2026-07-20T09:53:36+00:00,livekit:device:68ee8f60bc00,1,greeting,hi-IN,greeting_fallback_only_complete,0,0,0,0,337,0,2137,0,0,5255,0,0,0,0.0,60,,,"Hi! I am Cheeko, your fun friend. Ready for an awesome chat?"
2026-07-20T09:53:41+00:00,livekit:device:68ee8f60bc00,2,user_turn,hi-IN,turn_canceled,933,933,0,0,0,0,0,0,0,2481,0,0,0,2.59,0,"Hello, can you hear me?",,
2026-07-20T09:54:04+00:00,livekit:device:68ee8f60bc00,3,user_turn,en-IN,turn_done_callback,0,0,2996,20987,9211,0,9517,0,0,22719,11453,63,1,0.0,174,,"[happy] Hello Rahul! [excited] Yes, I can hear you loud and clear! [silly] My ears are like super-sonic radars today! [curious] What are we going to do now? [happy] Do you want to hear a funny joke or maybe a secret story?","Hello Rahul! | Yes, I can hear you loud and clear! | My ears are like super-sonic radars today! | What are we going to do now? | Do you want to hear a funny joke or maybe a secret story?"
2026-07-20T09:54:28+00:00,livekit:device:68ee8f60bc00,4,user_turn,en-IN,turn_done_callback,2561,2561,2567,16410,3043,5605,3438,6000,0,20702,11515,61,1,2.62,172,"Okay, tell me what is your name then?","[excited] Oho! I thought you knew! [happy] My name is Cheeko! [silly] I am your super-duper fun best friend who knows almost everything! [curious] Do you like my name, or should we give me a secret spy code name?","Oho! | I thought you knew! | My name is Cheeko! | I am your super-duper fun best friend who knows almost everything! | Do you like my name, or should we give me a secret spy code name?"
2026-07-20T09:54:50+00:00,livekit:device:14c19fd64548,1,greeting,hi-IN,greeting_fallback_only_complete,0,0,0,0,350,0,2389,0,0,5867,0,0,0,2.56,225,"Okay, now tell me how old are you?",,"Oho! | That is a tricky one! | I do not have a birthday with cake and balloons like you do, so I do not have a real age! | Hi! I am Cheeko 2, your fun friend. Ready for an awesome chat? | I am just the perfect age to be your best friend!"
2026-07-20T09:54:58+00:00,livekit:device:68ee8f60bc00,5,user_turn,hi-IN,turn_done_callback,3323,3323,2493,22241,4044,7368,4271,7596,4248,27053,11285,74,1,0.0,54,,"[silly] Oho! That is a tricky one! [happy] I do not have a birthday with cake and balloons like you do, so I do not have a real age! [excited] I am just the perfect age to be your best friend! [curious] If you could pick any age for me, how old should I be?","If you could pick any age for me, how old should I be?"
2026-07-20T09:55:04+00:00,livekit:device:68ee8f60bc00,6,user_turn,hi-IN,turn_canceled,2398,2398,0,0,0,0,0,0,0,3078,0,0,0,3.26,0,Three,,
2026-07-20T09:55:25+00:00,livekit:device:68ee8f60bc00,7,user_turn,hi-IN,turn_done_callback,0,0,4673,19506,5292,0,5575,0,35149,21245,11384,57,1,0.0,148,,"[excited] Oho! Two plus three! [happy] That is five! [silly] I calculated it in a blink of an eye! [curious] Do you want to try a super-duper hard one now, or should we do something silly?","Oho! | Two plus three! | That is five! | I calculated it in a blink of an eye! | Do you want to try a super-duper hard one now, or should we do something silly?"
2026-07-20T09:55:32+00:00,livekit:device:68ee8f60bc00,8,user_turn,hi-IN,turn_canceled,4622,4622,0,0,0,0,0,0,0,5064,0,0,0,3.52,0,Three Animals,,
